Trading Day,Product,Maturity,Delivery Start,Delivery End,Lot Size,Settlement Price,Open Price,Timestamp Open Price ,High Price,Timestamp High Price,Low Price,Timestamp Low Price,Last  Price,Timestamp Last Price,Traded Lots,Traded Volume,Number of Trades,Open Interest Volume,Open Interest Lots,Traded Lots,Traded Volume,Number of Trades
6/24/2020,DEBM,2020-09,9/1/2020,9/30/2020,720 MWh,36.27,36.1,2020-06-24T11:06:36,36.35,2020-06-24T15:01:46,36.1,2020-06-24T11:06:36,36.35,2020-06-24T15:38:21,44,"31,680 MWh",11,"3,689,280 MWh","5,124",107,"77,040 MWh",28
6/24/2020,DEBM,2020-10,10/1/2020,10/31/2020,745 MWh,36.77,36.15,2020-06-24T11:43:30,36.2,2020-06-24T11:47:22,36.15,2020-06-24T11:43:30,36.2,2020-06-24T11:47:22,18,"13,410 MWh",3,"822,480 MWh","1,104",80,"59,600 MWh",15
6/24/2020,DEBM,2020-11,11/1/2020,11/30/2020,720 MWh,42.71,,,,,,,,,,,,"4,320 MWh",6,,,
6/24/2020,DEBM,2020-12,12/1/2020,12/31/2020,744 MWh,37.73,37.45,2020-06-24T11:12:45,37.45,2020-06-24T11:12:45,37.45,2020-06-24T11:12:45,37.45,2020-06-24T11:12:48,7,"5,208 MWh",2,"358,608 MWh",482,,,
6/24/2020,DEBM,2021-01,1/1/2021,1/31/2021,744 MWh,43.24,,,,,,,,,,,,,,,,
6/24/2020,DEBM,2021-02,2/1/2021,2/28/2021,672 MWh,44.14,,,,,,,,,,,,,,,,
6/24/2020,DEBM,2021-03,3/1/2021,3/31/2021,743 MWh,38.44,,,,,,,,,,,,,,,,
6/23/2020,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,27.23,,,,,,,,,,,,"154,049,760 MWh","213,958",,,
6/23/2020,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,31.92,30.75,2020-06-23T08:52:52,32.05,2020-06-23T17:02:32,30.75,2020-06-23T08:52:52,31.95,2020-06-23T17:37:11,371,"276,024 MWh",99,"20,856,552 MWh","28,033","1,021","759,624 MWh",130
6/23/2020,DEBM,2020-08,8/1/2020,8/31/2020,744 MWh,32.55,31.4,2020-06-23T08:34:52,32.75,2020-06-23T17:22:00,31.4,2020-06-23T08:34:52,32.75,2020-06-23T17:22:49,344,"255,936 MWh",91,"7,012,200 MWh","9,425",870,"647,280 MWh",112
6/23/2020,DEBM,2020-09,9/1/2020,9/30/2020,720 MWh,35.78,35.55,2020-06-23T09:17:23,36.09,2020-06-23T15:50:23,35.55,2020-06-23T09:17:23,36,2020-06-23T16:25:41,69,"49,680 MWh",21,"3,582,000 MWh","4,975",65,"46,800 MWh",15
6/23/2020,DEBM,2020-10,10/1/2020,10/31/2020,745 MWh,36.22,,,,,,,,,,,,"749,470 MWh","1,006",40,"29,800 MWh",8
6/23/2020,DEBM,2020-11,11/1/2020,11/30/2020,720 MWh,42.94,,,,,,,,,,,,"4,320 MWh",6,1,720 MWh,1
6/23/2020,DEBM,2020-12,12/1/2020,12/31/2020,744 MWh,37.5,37,2020-06-23T08:59:51,37.5,2020-06-23T14:04:03,37,2020-06-23T08:59:51,37.5,2020-06-23T14:04:03,20,"14,880 MWh",4,"353,400 MWh",475,,,
6/23/2020,DEBM,2021-01,1/1/2021,1/31/2021,744 MWh,43.11,,,,,,,,,,,,,,,,
6/23/2020,DEBM,2021-02,2/1/2021,2/28/2021,672 MWh,44,,,,,,,,,,,,,,,,
6/23/2020,DEBM,2021-03,3/1/2021,3/31/2021,743 MWh,38.33,,,,,,,,,,,,,,,,
6/22/2020,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,26.92,,,,,,,,,,,,"154,049,760 MWh","213,958",,,
6/22/2020,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,30.54,30.2,2020-06-22T08:10:18,30.9,2020-06-22T11:50:49,30.2,2020-06-22T08:10:18,30.7,2020-06-22T17:31:29,369,"274,536 MWh",76,"20,118,504 MWh","27,041","1,274","947,856 MWh",94
6/22/2020,DEBM,2020-08,8/1/2020,8/31/2020,744 MWh,31.15,30.43,2020-06-22T08:03:53,31.92,2020-06-22T17:09:59,30.43,2020-06-22T08:03:53,31.92,2020-06-22T17:09:59,145,"107,880 MWh",39,"6,257,784 MWh","8,411",342,"254,448 MWh",36
6/22/2020,DEBM,2020-09,9/1/2020,9/30/2020,720 MWh,35.03,35.1,2020-06-22T10:46:04,35.12,2020-06-22T10:49:41,35.1,2020-06-22T10:46:04,35.1,2020-06-22T16:03:13,32,"23,040 MWh",5,"3,498,480 MWh","4,859",56,"40,320 MWh",13
6/22/2020,DEBM,2020-10,10/1/2020,10/31/2020,745 MWh,35.18,,,,,,,,,,,,"719,670 MWh",966,50,"37,250 MWh",10
6/22/2020,DEBM,2020-11,11/1/2020,11/30/2020,720 MWh,41.63,,,,,,,,,,,,"3,600 MWh",5,,,
6/22/2020,DEBM,2020-12,12/1/2020,12/31/2020,744 MWh,36.78,,,,,,,,,,,,"338,520 MWh",455,,,
6/22/2020,DEBM,2021-01,1/1/2021,1/31/2021,744 MWh,42.08,,,,,,,,,,,,,,,,
6/22/2020,DEBM,2021-02,2/1/2021,2/28/2021,672 MWh,42.96,,,,,,,,,,,,,,,,
6/22/2020,DEBM,2021-03,3/1/2021,3/31/2021,743 MWh,37.42,,,,,,,,,,,,,,,,
6/19/2020,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,26.86,,,,,,,,,,,,"154,049,760 MWh","213,958",,,
6/19/2020,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,31.04,31,2020-06-19T08:05:08,31.4,2020-06-19T14:02:06,31,2020-06-19T08:05:08,31,2020-06-19T16:45:55,266,"197,904 MWh",53,"18,954,888 MWh","25,477",495,"368,280 MWh",73
6/19/2020,DEBM,2020-08,8/1/2020,8/31/2020,744 MWh,31.36,31.15,2020-06-19T08:55:55,31.4,2020-06-19T12:28:44,31.11,2020-06-19T17:18:52,31.11,2020-06-19T17:18:52,48,"35,712 MWh",17,"5,925,960 MWh","7,965",192,"142,848 MWh",28
6/19/2020,DEBM,2020-09,9/1/2020,9/30/2020,720 MWh,35.13,34.9,2020-06-19T09:00:42,35.25,2020-06-19T10:16:01,34.9,2020-06-19T09:00:42,35.05,2020-06-19T16:12:01,38,"27,360 MWh",10,"3,441,600 MWh","4,780",95,"68,400 MWh",17
6/19/2020,DEBM,2020-10,10/1/2020,10/31/2020,745 MWh,35.09,,,,,,,,,,,,"682,420 MWh",916,30,"22,350 MWh",2
6/19/2020,DEBM,2020-11,11/1/2020,11/30/2020,720 MWh,40.72,,,,,,,,,,,,"3,600 MWh",5,,,
6/19/2020,DEBM,2020-12,12/1/2020,12/31/2020,744 MWh,37.22,,,,,,,,,,,,"338,520 MWh",455,,,
