Trading Day,Product,Maturity,Delivery Start,Delivery End,Lot Size,Settlement Price,Open Price,Timestamp Open Price ,High Price,Timestamp High Price,Low Price,Timestamp Low Price,Last  Price,Timestamp Last Price,Traded Lots,Traded Volume,Number of Trades,Open Interest Volume (prev. day),Open Interest Lots (prev. day),Traded Lots,Traded Volume,Number of Trades
10/9/2019,DEBM,2019-10,10/1/2019,10/31/2019,745 MWh,37.7,,,,,,,,,,,,"121,505,775 MWh","163,095",,,
10/9/2019,DEBM,2019-11,11/1/2019,11/30/2019,720 MWh,44.19,44.2,2019-10-09T08:23:36,44.5,2019-10-09T15:28:46,43.9,2019-10-09T10:50:56,44.35,2019-10-09T17:43:43,450,"324,000 MWh",92,"110,780,640 MWh","153,862",529,"380,880 MWh",54
10/9/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,42.31,42,2019-10-09T09:12:26,42.5,2019-10-09T15:22:53,41.85,2019-10-09T09:39:10,42.4,2019-10-09T17:33:10,148,"110,112 MWh",34,"108,220,008 MWh","145,457",438,"325,872 MWh",31
10/9/2019,DEBM,2020-01,1/1/2020,1/31/2020,744 MWh,49.56,49.4,2019-10-09T14:00:55,49.4,2019-10-09T14:00:55,49.4,2019-10-09T14:00:55,49.4,2019-10-09T14:00:55,3,"2,232 MWh",1,"223,200 MWh",300,25,"18,600 MWh",5
10/9/2019,DEBM,2020-02,2/1/2020,2/29/2020,696 MWh,51.25,51.1,2019-10-09T14:00:55,51.25,2019-10-09T15:23:30,51.1,2019-10-09T14:00:55,51.25,2019-10-09T15:23:30,9,"6,264 MWh",2,"33,408 MWh",48,,,
10/9/2019,DEBM,2020-03,3/1/2020,3/31/2020,743 MWh,44.19,,,,,,,,,,,,"8,173 MWh",11,5,"3,715 MWh",1
10/9/2019,DEBM,2020-04,4/1/2020,4/30/2020,720 MWh,42.55,,,,,,,,,,,,,,,,
10/9/2019,DEBM,2020-05,5/1/2020,5/31/2020,744 MWh,40.93,,,,,,,,,,,,,,,,
10/9/2019,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,44.66,,,,,,,,,,,,,,,,
10/9/2019,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,44.16,,,,,,,,,,,,,,,,
10/8/2019,DEBM,2019-10,10/1/2019,10/31/2019,745 MWh,37.6,,,,,,,,,,,,"121,505,775 MWh","163,095",,,
10/8/2019,DEBM,2019-11,11/1/2019,11/30/2019,720 MWh,44.19,44.45,2019-10-08T08:01:12,44.85,2019-10-08T11:16:57,44,2019-10-08T15:32:40,44.1,2019-10-08T17:50:55,590,"424,800 MWh",107,"110,226,960 MWh","153,093",704,"506,880 MWh",117
10/8/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,42.24,42.75,2019-10-08T09:06:02,42.8,2019-10-08T09:16:22,42.15,2019-10-08T16:12:54,42.3,2019-10-08T17:49:14,216,"160,704 MWh",40,"107,804,112 MWh","144,898",718,"534,192 MWh",91
10/8/2019,DEBM,2020-01,1/1/2020,1/31/2020,744 MWh,49.33,49.75,2019-10-08T10:48:46,49.75,2019-10-08T10:48:46,49.45,2019-10-08T16:59:15,49.45,2019-10-08T16:59:15,30,"22,320 MWh",6,"206,088 MWh",277,60,"44,640 MWh",7
10/8/2019,DEBM,2020-02,2/1/2020,2/29/2020,696 MWh,50.83,51.25,2019-10-08T13:25:34,51.25,2019-10-08T13:25:34,51,2019-10-08T14:25:47,51.2,2019-10-08T16:59:14,12,"8,352 MWh",3,"27,144 MWh",39,,,
10/8/2019,DEBM,2020-03,3/1/2020,3/31/2020,743 MWh,43.82,,,,,,,,,,,,"4,458 MWh",6,,,
10/8/2019,DEBM,2020-04,4/1/2020,4/30/2020,720 MWh,42.35,,,,,,,,,,,,,,,,
10/8/2019,DEBM,2020-05,5/1/2020,5/31/2020,744 MWh,40.81,,,,,,,,,,,,,,,,
10/8/2019,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,44.52,,,,,,,,,,,,,,,,
10/8/2019,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,44.01,,,,,,,,,,,,,,,,
10/7/2019,DEBM,2019-10,10/1/2019,10/31/2019,745 MWh,39.15,,,,,,,,,,,,"121,505,775 MWh","163,095",,,
10/7/2019,DEBM,2019-11,11/1/2019,11/30/2019,720 MWh,44.19,43.8,2019-10-07T08:28:25,44.4,2019-10-07T16:46:31,43.75,2019-10-07T08:54:46,44.25,2019-10-07T17:17:33,337,"242,640 MWh",62,"109,476,000 MWh","152,050",605,"435,600 MWh",78
10/7/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,42.66,42.3,2019-10-07T08:28:25,42.65,2019-10-07T15:31:04,42.3,2019-10-07T08:28:25,42.65,2019-10-07T15:31:04,116,"86,304 MWh",28,"107,168,736 MWh","144,044",419,"311,736 MWh",44
10/7/2019,DEBM,2020-01,1/1/2020,1/31/2020,744 MWh,49.73,49.7,2019-10-07T09:56:55,50,2019-10-07T14:18:03,49.7,2019-10-07T09:56:55,50,2019-10-07T14:18:03,20,"14,880 MWh",3,"139,128 MWh",187,25,"18,600 MWh",3
10/7/2019,DEBM,2020-02,2/1/2020,2/29/2020,696 MWh,50.46,,,,,,,,,,,,"18,792 MWh",27,,,
10/7/2019,DEBM,2020-03,3/1/2020,3/31/2020,743 MWh,43.81,,,,,,,,,,,,"4,458 MWh",6,,,
10/7/2019,DEBM,2020-04,4/1/2020,4/30/2020,720 MWh,42.45,,,,,,,,,,,,,,,,
10/7/2019,DEBM,2020-05,5/1/2020,5/31/2020,744 MWh,40.94,,,,,,,,,,,,,,,,
10/7/2019,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,44.65,,,,,,,,,,,,,,,,
10/7/2019,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,44.01,,,,,,,,,,,,,,,,
10/4/2019,DEBM,2019-10,10/1/2019,10/31/2019,745 MWh,40.33,,,,,,,,,,,,"121,505,775 MWh","163,095",,,
10/4/2019,DEBM,2019-11,11/1/2019,11/30/2019,720 MWh,45.36,45.4,2019-10-04T08:48:21,46.1,2019-10-04T09:50:17,45,2019-10-04T17:27:09,45,2019-10-04T17:27:09,189,"136,080 MWh",49,"108,964,800 MWh","151,340",443,"318,960 MWh",80
10/4/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,43.39,43.8,2019-10-04T09:39:39,44.15,2019-10-04T09:51:26,43.15,2019-10-04T17:32:48,43.15,2019-10-04T17:32:48,148,"110,112 MWh",33,"106,800,456 MWh","143,549",132,"98,208 MWh",14
10/4/2019,DEBM,2020-01,1/1/2020,1/31/2020,744 MWh,50.06,50.3,2019-10-04T09:53:44,50.6,2019-10-04T09:56:20,50,2019-10-04T12:41:51,50,2019-10-04T12:41:51,35,"26,040 MWh",4,"105,648 MWh",142,,,
10/4/2019,DEBM,2020-02,2/1/2020,2/29/2020,696 MWh,50.5,50.75,2019-10-04T13:25:30,50.75,2019-10-04T13:25:30,50.75,2019-10-04T13:25:30,50.75,2019-10-04T13:25:30,10,"6,960 MWh",1,"18,792 MWh",27,,,
10/4/2019,DEBM,2020-03,3/1/2020,3/31/2020,743 MWh,44.1,,,,,,,,,,,,"4,458 MWh",6,,,
10/4/2019,DEBM,2020-04,4/1/2020,4/30/2020,720 MWh,42.72,,,,,,,,,,,,,,,,
10/4/2019,DEBM,2020-05,5/1/2020,5/31/2020,744 MWh,41.13,,,,,,,,,,,,,,,,
10/4/2019,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,44.85,,,,,,,,,,,,,,,,
10/4/2019,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,44.06,,,,,,,,,,,,,,,,
10/3/2019,DEBM,2019-10,10/1/2019,10/31/2019,745 MWh,39.94,,,,,,,,,,,,"121,505,775 MWh","163,095",,,
10/3/2019,DEBM,2019-11,11/1/2019,11/30/2019,720 MWh,45.01,45.1,2019-10-03T08:19:41,45.5,2019-10-03T17:51:39,44.8,2019-10-03T13:27:53,45.5,2019-10-03T17:53:19,333,"239,760 MWh",88,"108,586,080 MWh","150,814",722,"519,840 MWh",117
10/3/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,43.35,43.6,2019-10-03T08:47:05,43.75,2019-10-03T09:49:30,43.25,2019-10-03T12:24:02,43.45,2019-10-03T17:28:17,176,"130,944 MWh",34,"106,626,360 MWh","143,315",148,"110,112 MWh",27
10/3/2019,DEBM,2020-01,1/1/2020,1/31/2020,744 MWh,49.98,50.1,2019-10-03T12:45:34,50.1,2019-10-03T12:45:34,50.1,2019-10-03T12:45:34,50.1,2019-10-03T13:55:43,10,"7,440 MWh",2,"79,608 MWh",107,,,
10/3/2019,DEBM,2020-02,2/1/2020,2/29/2020,696 MWh,50.15,,,,,,,,,,,,"11,832 MWh",17,,,
