;;;;;;;;;;;;;;;;;;
;EEX Power Derivatives Phelix-DE-Base-Month-Future;;;;;;;;;;;;;;;;;
Trading Day;Contract;Delivery Period;Delivery Start;Delivery End;Contract Volume;Open Price;High Price;Low Price;Last Price;"Settlement
Price";Exchange Volume MWh;Exchange Traded Contracts;Exchange Number of Trades;TradeReg Volume MWh;TradeReg Traded Contracts;TradeReg Number of Trades;Open Interest MWh (prev. day);Open Interest Contracts (prev. day)
15-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;43,7;44,2;43,7;44,2;44,15;98952;133;22;14880;20;4;1220904;1641
15-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;45,05;45,45;45,05;45,25;45,53;25536;38;7;10080;15;2;340704;507
15-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;38;38,45;38;38,45;38,48;8173;11;3;2972;4;1;564680;760
15-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;35,33;0;0;0;0;0;0;162000;225
15-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;34,04;0;0;0;0;0;0;0;0
15-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;35,68;0;0;0;0;0;0;0;0
15-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;35,12;0;0;0;0;0;0;0;0
15-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;35;0;0;0;0;0;0;0;0
15-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
14-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;32,14;0;0;0;0;0;0;4161192;5593
14-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;43,45;43,65;43,3;43,55;43,5;97464;131;25;37200;50;7;1106328;1487
14-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;45;45,15;44,8;45,15;44,96;38976;58;12;0;0;0;336672;501
14-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;38;38,05;38;38,05;38,15;14117;19;3;0;0;0;550563;741
14-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;34,71;0;0;0;0;0;0;162000;225
14-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;33,63;0;0;0;0;0;0;0;0
14-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;35,1;0;0;0;0;0;0;0;0
14-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;34,57;0;0;0;0;0;0;0;0
14-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;36,1;0;0;0;0;0;0;0;0
14-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
13-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;32,62;0;0;0;0;0;0;4161192;5593
13-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;43,75;44,05;43,75;44,05;43,9;56544;76;15;52080;70;11;1026720;1380
13-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;45,45;45,6;45,35;45,35;45,45;24192;36;9;26880;40;7;312480;465
13-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;38,4;38,4;38,35;38,35;38,29;2972;4;2;37150;50;10;510441;687
13-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;35,72;0;0;0;0;0;0;162000;225
13-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;33,72;0;0;0;0;0;0;0;0
13-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;34,73;0;0;0;0;0;0;0;0
13-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;34,72;0;0;0;0;0;0;0;0
13-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;36,26;0;0;0;0;0;0;0;0
13-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
12-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;32,48;0;0;0;0;0;0;4161192;5593
12-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;43,95;46;43,95;44,35;44,48;192696;259;41;30504;41;9;887592;1193
12-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;45,05;46,15;44,95;45,75;45,8;45024;67;12;20160;30;3;264096;393
12-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;38;39,25;38;38,7;38,92;53496;72;12;0;0;0;456945;615
12-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;36,01;0;0;0;0;0;0;162000;225
12-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;33,34;0;0;0;0;0;0;0;0
12-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;34,86;0;0;0;0;0;0;0;0
12-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;34,62;0;0;0;0;0;0;0;0
12-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;36,16;0;0;0;0;0;0;0;0
